,0
1894,M10065_f
1895,M10065_f
1896,M10065_r_i
1897,M10321
1898,M10373
1899,M10373
1900,M10901
1901,M10938
1902,M10988
1903,M11025_f
1904,M11058
1905,M11166_i
1906,M11166_i
1907,M11166_r
1908,M11186_i
1909,M11186_r
1910,M11220
1911,M11309
1912,M11354
1913,M11433
1914,M11507
1915,M11568
1916,M11718
1917,M11722
1918,M11799
1919,M12272_f
1920,M12623
1921,M12849
1922,M12996
1923,M13057
1924,M13058
1925,M13058
1926,M13143
1927,M13144
1928,M13150
1929,M13241
1930,M13299
1931,M13452
1932,M13560
1933,M13577_i
1934,M13577_r_i
1935,M13665
1936,M13666
1937,M13686_f
1938,M13699_f
1939,M13755_i
1940,M13792
1941,M13880
1942,M13928_f
1943,M13928_f
1944,M13928_i
1945,M13928_i
1946,M13995
1947,M14016_f
1948,M14083
1949,M14083
1950,M14144
1951,M14362
1952,M14502
1953,M14603
1954,M14630
1955,M14648
1956,M14676
1957,M14745
1958,M14764_i
1959,M14764_r
1960,M14766
1961,M14993
1962,M15205
1963,M15395
1964,M15476
1965,M15798_f
1966,M15798_i
1967,M15841
1968,M15881
1969,M16029_f
1970,M16029_i
1971,M16038
1972,M16276
1973,M16404
1974,M16447
1975,M16451
1976,M16462
1977,M16474
1978,M16505
1979,M16630
1980,M16630
1981,M16653
1982,M16707
1983,M16768
1984,M16801
1985,M16827
1986,M16938
1987,M16961
1988,M16965
1989,M16967_f
1990,M17016
1991,M17115
1992,M17183
1993,M17219
1994,M17236_f
1995,M17236_i
1996,M17252
1997,M17252
1998,M17254
1999,M17398
2000,M17446
2001,M17754
2002,M17779
2003,M18079
2004,M18216
2005,M18371
2006,M18372
